"ACCURACY";"CHECKED";"CODE";"COORDINATES";"CREATEDAT";"DATE";"DESCRIPTION";"EMPTY";"NUMBER";"PHOTOS";"ROI";"TEMPERATURE";"TYPE";"UPDATEDAT";"WIND";"_ID";"__V"
"0.0";"true";"1";"9.143950939178469";"Thu Apr 08 17:27:51 CEST 2021";"Thu Apr 08 17:27:51 CEST 2021";"WGS 84";"false";"1";"uploads/7637dcc9-3a03-47f0-8d55-05027238b18f.jpeg";"000000000000000000000001";"14.1";"Point";"Mon Apr 12 08:37:52 CEST 2021";"2.2";"606f20f7b31b0a267849e3ae";"0"
"9.25";"";"1";"9.0785875";"Sat Apr 10 16:02:13 CEST 2021";"Sat Apr 10 16:02:13 CEST 2021";"WGS 84";"";"";"uploads/c5a0f621-175d-44f9-810e-63a2f818a79a.jpeg";"000000000000000000000001";"12.1";"Point";"Sat Apr 10 16:02:13 CEST 2021";"2.7";"6071afe5b31b0a267849e3b3";"0"
"27.042999267578125";"";"1";"9.1434135";"Sat Apr 10 16:29:39 CEST 2021";"Sat Apr 10 16:29:39 CEST 2021";"WGS 84";"";"";"uploads/a8791df9-bbd4-4756-b212-c1afdd3fc094.jpeg";"000000000000000000000001";"12.2";"Point";"Sat Apr 10 16:29:39 CEST 2021";"2.7";"6071b653b31b0a267849e3b4";"0"
"4.900000095367432";"";"1";"9.078755260594596";"Sat Apr 10 16:42:08 CEST 2021";"Sat Apr 10 16:42:08 CEST 2021";"WGS 84";"false";"";"uploads/71eb3f11-a4eb-47c2-bb90-70e551cb2ccb.jpeg";"000000000000000000000001";"12.2";"Point";"Sat Apr 10 16:42:08 CEST 2021";"2.7";"6071b940b31b0a267849e3b5";"0"
"6.000906205260658";"";"1";"9.078745188893544";"Sun Apr 11 15:44:43 CEST 2021";"Sun Apr 11 15:44:43 CEST 2021";"WGS 84";"";"";"uploads/ef89efca-9bf3-4c7f-897f-5f6bd2c9e071.jpeg";"000000000000000000000001";"5.8";"Point";"Sun Apr 11 15:44:43 CEST 2021";"0.9";"6072fd4bb31b0a267849e3b6";"0"
"0.0";"";"1";"8.65276336669922";"Thu Apr 15 10:41:17 CEST 2021";"Mon Apr 12 10:41:00 CEST 2021";"WGS 84";"false";"";"uploads/d7851b51-0a28-41b7-8e79-2d22032c0c09.jpeg";"000000000000000000000002";"0.0";"Point";"Thu Apr 15 10:41:17 CEST 2021";"0.0";"6077fc2db575cc3a3ea03631";"0"
"0.0";"";"1";"8.546661";"Thu Apr 15 11:04:30 CEST 2021";"Wed Apr 14 10:04:00 CEST 2021";"WGS 84";"false";"";"uploads/e5e121d9-8af2-4af6-9759-33bc428ccec4.jpeg";"000000000000000000000002";"0.0";"Point";"Thu Apr 29 13:02:08 CEST 2021";"0.0";"6078019eb575cc3a3ea03633";"0"
"3.9000000953674316";"";"1";"9.07781";"Fri Apr 16 16:44:34 CEST 2021";"Fri Apr 16 16:44:34 CEST 2021";"WGS 84";"";"";"uploads/cf93dc19-8b7f-400f-b56d-af77c979b213.jpeg";"000000000000000000000001";"11.9";"Point";"Fri Apr 16 16:44:34 CEST 2021";"2.7";"6079a2d2b31b0a267849e3c1";"0"
"3.9000000953674316";"";"1";"9.077833";"Fri Apr 16 16:54:34 CEST 2021";"Fri Apr 16 16:54:34 CEST 2021";"WGS 84";"";"";"uploads/4eeee0f6-98ae-418f-9eca-3b7c654e8b2c.jpeg";"000000000000000000000001";"11.9";"Point";"Fri Apr 16 16:54:34 CEST 2021";"2.7";"6079a52ab31b0a267849e3c2";"0"
"20.96500015258789";"";"1";"9.0673521";"Sat Apr 17 13:54:43 CEST 2021";"Sat Apr 17 13:54:43 CEST 2021";"WGS 84";"false";"";"uploads/1ca2c579-5053-4e40-aaa1-04a57d8b5e00.jpeg";"000000000000000000000001";"13.7";"Point";"Sat Apr 17 13:54:43 CEST 2021";"1.3";"607acc83b31b0a267849e3c3";"0"
